"id","subject","topic","subtopic","description","created_at"
286,"Science & Tech","Energy Tech","Renewable Energy","renewable energy sources like solar and wind","2026-01-05 21:03:29"
287,"Science & Tech","Energy Tech","Nuclear & Hybrid","nuclear energy and hybrid energy systems","2026-01-05 21:03:29"
288,"Science & Tech","Energy Tech","Materials Tech","advanced materials and nanotechnology","2026-01-05 21:03:29"
289,"Science & Tech","Energy Tech","Other Energy","other energy and materials technology topics","2026-01-05 21:03:29"
290,"Science & Tech","Disaster Mgmt.","Disaster Concepts","basic concepts of disaster management","2026-01-05 21:03:29"
291,"Science & Tech","Disaster Mgmt.","Warning Tech","technologies for early warning of disasters","2026-01-05 21:03:29"
292,"Science & Tech","Disaster Mgmt.","GIS & RS","GIS and remote sensing in disaster management","2026-01-05 21:03:29"
293,"Science & Tech","Disaster Mgmt.","Other DM Tech","other disaster management technology topics","2026-01-05 21:03:29"
294,"Miscellaneous","Sports","Events","major national and international sports events","2026-01-05 21:03:29"
295,"Miscellaneous","Sports","Winners","winners of major sports tournaments","2026-01-05 21:03:29"
296,"Miscellaneous","Sports","Records","major sports records and achievements","2026-01-05 21:03:29"
297,"Miscellaneous","Sports","Other Sports","other miscellaneous sports topics","2026-01-05 21:03:29"
298,"Miscellaneous","Awards","International","major international awards like Nobel","2026-01-05 21:03:29"
299,"Miscellaneous","Awards","National Civilian","major national civilian awards","2026-01-05 21:03:29"
300,"Miscellaneous","Awards","Sectoral","sector-specific awards in literature arts etc.","2026-01-05 21:03:29"
301,"Miscellaneous","Awards","Other Awards","other miscellaneous awards","2026-01-05 21:03:29"
302,"Miscellaneous","Reports & Indices","Global","major global reports and indices","2026-01-05 21:03:29"
303,"Miscellaneous","Reports & Indices","National","major national reports and indices","2026-01-05 21:03:29"
304,"Miscellaneous","Reports & Indices","Other Reports","other miscellaneous reports","2026-01-05 21:03:29"
305,"Miscellaneous","Defence Exercises","Bilateral","bilateral defence exercises of India","2026-01-05 21:03:29"
306,"Miscellaneous","Defence Exercises","Multilateral","multilateral defence exercises","2026-01-05 21:03:29"
307,"Miscellaneous","Defence Exercises","Operations Codenames","codenames of major defence operations","2026-01-05 21:03:29"
308,"Miscellaneous","Defence Exercises","Other Defence","other miscellaneous defence topics","2026-01-05 21:03:29"
309,"Miscellaneous","Places in News","International","international places in news","2026-01-05 21:03:29"
310,"Miscellaneous","Places in News","Indian","Indian places in news","2026-01-05 21:03:29"
311,"Miscellaneous","Places in News","Other Places","other miscellaneous places in news","2026-01-05 21:03:29"
312,"Miscellaneous","Personalities","Appointments","major new appointments and heads of bodies","2026-01-05 21:03:29"
313,"Miscellaneous","Personalities","Awardees","persons in news for receiving awards","2026-01-05 21:03:29"
314,"Miscellaneous","Personalities","Obituaries","obituaries of prominent persons","2026-01-05 21:03:29"
315,"Miscellaneous","Personalities","Other Persons","other miscellaneous personalities in news","2026-01-05 21:03:29"
316,"Miscellaneous","Culture","Theme Days","themes of important national and international days","2026-01-05 21:03:29"
317,"Miscellaneous","Culture","Festivals & Fairs","miscellaneous festivals and fairs in news","2026-01-05 21:03:29"
318,"Miscellaneous","Culture","Declared Years","declared international years and their themes","2026-01-05 21:03:29"
319,"Miscellaneous","Culture","Other Culture","other thematic/cultural misc.","2026-01-05 21:03:29"
